3,Struktura,Nazwa dekoru,"Płyta laminowana
- 2800 x 2070 mm",,Laminat,,Blaty i Panele (dł. 4100 mm),,,,,
H1636,ST12,Wiśnia Locarno,374 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
H1487,ST22,Sosna Bramberg,374 zł,XXX,327 zł,XXX,XXX,XXX,XXX,XXX,XXX,
H1401,ST22,Sosna Cascina,374 zł,XXX,XXX,XXX,XXX,XXX,460 zł,789 zł,623 zł,H193 ST12
H1399,ST10,Dąb Denver truflowy,452 zł,XXX,349 zł,XXX,XXX,XXX,XXX,XXX,XXX,
H1386,ST40,Dąb Casella brązowy,589 zł,XXX,XXX,XXX,XXX,XXX,1 049 zł,1 796 zł,1 144 zł,
H1385,ST40,Dąb Casella naturalny,589 zł,XXX,1 387 zł,XXX,XXX,XXX,1 049 zł,1 796 zł,1 144 zł,W908 ST40
H1384,ST40,Dąb Casella biały,ilości paletowe,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
H1367,ST40,Dąb Casella naturalny jasny,589 zł,XXX,1 387 zł,XXX,XXX,XXX,XXX,XXX,XXX,
H1362,ST12,Dąb baronia jasny,418 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
H1357,ST10,Dąb Spree szarobeżowy,XXX,XXX,XXX,XXX,XXX,XXX,460 zł,789 zł,623 zł,H197 ST10
H1344,ST32,Dąb Sherman koniakowy brązowy,589 zł,XXX,XXX,1 387 zł,XXX,XXX,1 049 zł,1 796 zł,1 144 zł,W908 ST32
H1330,ST10,Dąb Santa Fe Vintage,452 zł,XXX,XXX,XXX,1 776 zł,2 816 zł,XXX,XXX,XXX,
H1318,ST10,Dąb dziki naturalny,334 zł,XXX,327 zł,XXX,1 776 zł,2 816 zł,460 zł,789 zł,623 zł,H1330 ST10
H1312,ST10,Dąb Whiteriver Beżowopiaskowy,452 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
H1307,ST19,Orzech Warmia brązowy,492 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
H1303,ST12,Dąb Belmont brązowy,418 zł,XXX,605 zł,XXX,XXX,XXX,460 zł,789 zł,623 zł,H1145 ST10
H1277,ST9,Akacja Lakeland jasna,345 zł,XXX,327 zł,XXX,XXX,XXX,XXX,XXX,XXX,
H1250,ST36,Jesion Navarra,541 zł,XXX,349 zł,XXX,XXX,XXX,XXX,XXX,XXX,
H1242,ST10,Akacja Sheffield naturalna,452 zł,XXX,349 zł,XXX,XXX,XXX,XXX,XXX,XXX,
H1227,TM12,Jesion Abano brązowy,870 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
H1225,ST12,Jesion Trondheim,374 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
H1223,ST19,Jesion Sevilla,492 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
H1204,TM22,Jesion Lugano naturalny,870 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
H1199,ST12,Dąb Thermo czarnobrązowy,374 zł,XXX,327 zł,XXX,XXX,XXX,XXX,XXX,XXX,
H1181,ST37,Dąb Halifax tabak,589 zł,XXX,XXX,1 387 zł,XXX,XXX,1 049 zł,1 796 zł,1 144 zł,W908 ST37
H1180,ST37,Dąb Halifax naturalny,589 zł,XXX,XXX,1 387 zł,XXX,XXX,1 049 zł,1 796 zł,1 144 zł,W908 ST37
H1176,ST37,Dąb Halifax biały,589 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
H1145,ST10,Dąb Bardolino naturalny,292 zł,XXX,327 zł,XXX,XXX,XXX,454 zł,779 zł,623 zł,H1303 ST12
H1142,ST36,Dąb Sacramento brązowy,541 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
H1113,ST10,Dąb Kansas brązowy,343 zł,XXX,327 zł,XXX,XXX,XXX,XXX,XXX,XXX,
H011,G8,Świerk Nebrodi rustykalny,XXX,XXX,XXX,XXX,XXX,XXX,465 zł,798 zł,623 zł,F675
F800,ST9,Marmur Crystal,452 zł,XXX,349 zł,XXX,XXX,XXX,465 zł,798 zł,623 zł,H1313
F765,ST20,Metal srebrnoszary szczotkowany,374 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
F685,ST10,Acapulco,452 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
F676,ST75,Kamień Calvia piaskowoszary,XXX,XXX,XXX,XXX,XXX,XXX,460 zł,789 zł,623 zł,F638
F675,ST75,Kamień Calvia jasnoszary,XXX,XXX,349 zł,XXX,XXX,XXX,460 zł,789 zł,623 zł,H011
F638,ST10,Chromix srebrny,XXX,XXX,XXX,XXX,XXX,XXX,460 zł,789 zł,623 zł,F676
F620,ST87,Stal szara antracytowa,XXX,XXX,XXX,XXX,XXX,XXX,465 zł,798 zł,623 zł,H3303 ST10
F528,ST20,Metal szczotkowany brązowy,492 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
F502,ST7,Szczotkowane aluminium premium,XXX,XXX,XXX,XXX,XXX,XXX,454 zł,779 zł,623 zł,F484 ST87
F486,ST76,Granit lśniący biały,XXX,XXX,XXX,XXX,XXX,XXX,465 zł,798 zł,623 zł,W1000 ST76
F484,ST87,Granit lśniący rdzawy,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,623 zł,F502 ST7
F433,ST10,Len antracytowy,452 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
F416,ST10,Płótno beżowe,452 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
F352,ST76,Basaltino Terra,XXX,XXX,XXX,XXX,XXX,XXX,465 zł,798 zł,623 zł,F502 ST7
F323,ST20,Kobra brązowa,492 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
F311,ST87,Granit lśniący rdzawy,XXX,XXX,XXX,XXX,1 776 zł,2 816 zł,XXX,XXX,623 zł,F302 ST87
F302,ST87,Ferro brązowy,XXX,XXX,349 zł,XXX,XXX,XXX,465 zł,798 zł,623 zł,F311 ST87
F251,ST9,Kamień Gavi taupe,XXX,XXX,XXX,XXX,XXX,XXX,460 zł,789 zł,623 zł,F234 ST76
F244,ST76,Marmur Candela antracytowy,XXX,XXX,XXX,XXX,1 776 zł,2 816 zł,XXX,XXX,624 zł,F243 ST76
F243,ST76,Marmur Candela jasnoszary,492 zł,XXX,XXX,XXX,XXX,XXX,465 zł,798 zł,623 zł,F244 ST76
F237,ST76,Łupek Cupria,XXX,XXX,XXX,XXX,XXX,XXX,465 zł,798 zł,623 zł,F235 ST76
F235,ST76,Łupek Scivaro,492 zł,XXX,XXX,XXX,XXX,XXX,465 zł,798 zł,623 zł,F237 ST76
F234,ST76,Łupek Scivaro jasnoszary,XXX,XXX,349 zł,XXX,XXX,XXX,465 zł,798 zł,623 zł,F251 ST76
F230,ST75,Pietra Fanano jasnoszara,XXX,XXX,XXX,XXX,XXX,XXX,465 zł,798 zł,623 zł,F228 ST76
F229,ST75,Marmur Cremona,XXX,XXX,349 zł,XXX,XXX,XXX,465 zł,798 zł,623 zł,F226 ST76
F228,ST78,Tytanit antracytowy,XXX,XXX,XXX,XXX,XXX,XXX,465 zł,798 zł,623 zł,F230 ST76
F227,ST78,Tytanit szary,XXX,XXX,XXX,XXX,XXX,XXX,465 zł,798 zł,623 zł,F221 ST76
F226,ST78,Tytanit beżowo piaskowy,XXX,XXX,XXX,XXX,XXX,XXX,465 zł,798 zł,623 zł,F221 ST76
F221,ST87,Tessina Ceramic kremowa,XXX,XXX,349 zł,XXX,1 776 zł,2 816 zł,XXX,XXX,624 zł,F227 ST78
F208,ST75,Pietra Fanano szara,XXX,XXX,XXX,XXX,XXX,XXX,465 zł,798 zł,623 zł,F108 ST9
F206,ST9,Grigia Pietra czarna,452 zł,XXX,349 zł,XXX,1 776 zł,2 816 zł,460 zł,789 zł,623 zł,F205 ST9
F206,PM,Grigia Pietra czarna,XXX,XXX,XXX,XXX,XXX,XXX,1 002 zł,XXX,1 051 zł,GZW
F205,ST9,Grigia Pietra antracytowa,XXX,XXX,349 zł,XXX,XXX,XXX,460 zł,789 zł,623 zł,F206 ST9
F187,ST9,Beton Chicago ciemnoszary,452 zł,XXX,349 zł,XXX,XXX,XXX,460 zł,789 zł,623 zł,F031 ST78
F186,ST9,Beton Chicago jasnoszary,452 zł,XXX,349 zł,XXX,XXX,XXX,460 zł,789 zł,623 zł,F032 ST78
F1861,ST9,Beton Chicago jasnoszary solid,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,821 zł,GZW
F121,ST87,Metal Rock antracytowy,XXX,XXX,XXX,XXX,XXX,XXX,465 zł,798 zł,623 zł,F052 ST75
F108,ST9,Marmur San Luca,XXX,XXX,XXX,XXX,XXX,XXX,460 zł,789 zł,623 zł,F208 ST75
F095,ST87,Marmur Siena szary,XXX,XXX,XXX,XXX,XXX,XXX,460 zł,789 zł,623 zł,F093 ST7
F093,ST7,Marmur Cipollino szary,XXX,XXX,XXX,XXX,XXX,XXX,454 zł,779 zł,623 zł,F095 ST87
F052,ST75,Trawertyn Calais,XXX,XXX,XXX,XXX,XXX,XXX,465 zł,798 zł,623 zł,F121 ST87
F032,ST78,Granit Cascia szary,XXX,XXX,XXX,XXX,XXX,XXX,465 zł,798 zł,623 zł,F186 ST9
F031,ST78,Granit Cascia jasnoszary,XXX,XXX,XXX,XXX,XXX,XXX,465 zł,798 zł,623 zł,F189 ST9
F030,ST75,Trawertyn Margalida,XXX,XXX,XXX,XXX,XXX,XXX,465 zł,798 zł,623 zł,F021 ST75
F021,ST75,Terrazzo Triestino szary,XXX,XXX,XXX,XXX,XXX,XXX,460 zł,789 zł,623 zł,F030 ST75
u250,PM,karmelowy beż,1252,,,,,,,,,
